Ticker,MCap_Cr,ROE_Latest,ROCE_Latest,OPM_Latest,Revenue_CAGR_AllYears,PAT_CAGR_AllYears
PSB,17043.6,9.62,,41.72,33.8,29.1
THANGAMAYL,17028.91,27.93,,7.11,105.6,350.9
CHENNPETRO,16941.65,32.13,,11.21,-2.5,202.5
BIKAJI,16894.62,15.96,,8.8,17.5,25.8
LMW,16835.34,4.63,,4.24,16.1,33.2
CROMPTON,16745.18,-6.34,,9.9,10.8,
BRIGADE,16600.03,10.79,,19.52,-0.2,-42.4
NAVA,16534.35,10.31,,24.54,12.2,-44.6
INOXINDIA,16411.86,25.9,,18.59,24.7,14.9
FRACTAL,16372.8,11.58,,16.2,17.0,106.4
TRAVELFOOD,16350.64,35.7,,31.84,25.7,17.2
COHANCE,16349.31,3.84,,7.66,-26.3,-89.0
JBMA,16171.48,15.99,,10.43,12.3,-17.1
ZENTEC,16132.92,11.83,,25.35,-45.2,-68.8
ZYDUSWELL,16098.76,3.43,,14.14,62.6,-5.8
CENTURYPLY,16098.65,10.71,,8.57,24.5,48.7
AARTIIND,15978.27,7.25,,9.84,13.2,43.4
DCMSHRIRAM,15915.13,11.62,,6.74,11.0,106.7
IGIL,15849.46,,,60.49,20.9,28.4
FINCABLES,15841.46,12.33,,8.39,22.4,17.1
GALLANTT,15788.22,,,13.78,,
POLYMED,15550.72,10.85,,13.5,21.3,-26.8
SHRIPISTON,15524.92,,,5.48,-5.3,-50.6
NIVABUPA,15513.77,10.65,,8.47,26.8,90.2
JYOTICNC,15503.43,18.22,,22.22,4.1,-16.9
NATCOPHARM,15473.3,16.85,,10.44,-39.6,-34.1
JUBLPHARMA,15470.47,5.96,,9.72,18.7,-22.4
INOXWIND,15213.68,6.75,,11.86,-2.4,-47.0
JINDALSAW,15207.26,7.96,,6.07,-8.2,-52.2
AETHER,15167.3,9.38,,21.06,26.1,7.8
ARE&M,15074.88,11.57,,6.44,15.5,94.5
CCL,15056.62,18.0,,12.5,46.4,12.4
CHOICEIN,15004.0,16.24,,30.11,21.8,15.3
MINDACORP,14997.2,14.74,,8.49,29.0,139.1
USHAMART,14809.07,16.23,,18.41,9.3,45.8
BEML,14789.63,,,-1.63,23.7,
APOLLO,14766.68,11.21,,20.69,81.3,134.8
CLEANMAX,14666.51,1.96,,30.66,25.1,128.2
APLLTD,14611.52,12.36,,7.54,4.4,29.2
BASF,14528.82,10.96,,2.17,4.8,155.0
KSB,14528.79,,,6.04,1.0,-23.2
FINEORG,14485.92,16.82,,17.88,2.4,21.0
VENTIVE,14467.9,7.92,,38.64,10.1,32.9
TBOTEK,14445.74,17.79,,9.26,82.5,2.2
AVANTIFEED,14443.4,19.05,,10.2,6.0,-17.5
JSWDULUX,14428.99,,,,,
THELEELA,14353.51,8.01,,48.68,8.2,21.9
KFINTECH,14287.66,22.31,,29.23,27.7,-5.0
SOBHA,14255.88,4.17,,6.22,60.2,124.3
GRWRHITECH,14244.94,13.45,,20.69,8.9,39.1
ANURAS,14234.46,5.76,,14.88,27.5,-7.6
CONCORDBIO,14162.94,13.54,,30.36,-24.1,-37.0
MAHSCOOTER,14097.14,1.06,,83.87,-3.6,-92.3
AGARWALEYE,13939.33,8.31,,15.03,22.6,20.8
DOMS,13903.7,20.09,,12.87,18.7,16.8
AZAD,13885.72,9.14,,27.56,27.3,34.3
RAINBOW,13846.57,17.94,,22.56,24.3,39.1
NSLNISP,13844.18,0.45,,14.34,36.7,
SCI,13836.56,,,21.47,14.2,118.9
PGEL,13797.23,6.69,,5.54,-10.1,-57.0
KIRLOSBROS,13732.98,16.48,,10.88,10.4,-18.7
ASTRAMICRO,13708.16,15.99,,30.61,19.7,43.9
SHAILY,13669.79,26.88,,22.11,8.7,40.9
JSWHL,13602.25,,,89.52,-41.9,-51.0
VINATIORGA,13519.48,14.9,,23.15,-6.9,0.7
DEVYANI,13490.83,-2.59,,4.22,19.7,
HONASA,13463.62,15.45,,10.11,23.2,175.5
PRIVISCL,13454.37,24.76,,19.92,17.6,40.9
CEATLTD,13451.07,14.79,,9.69,23.3,183.2
KEC,13428.46,10.52,,6.22,-7.0,-28.1
ABREL,13251.65,-8.91,,,,
VIJAYA,13244.87,19.7,,32.45,26.6,38.0
WELSPUNLIV,13242.28,4.3,,6.0,-8.0,-22.1
LTFOODS,13226.86,14.94,,10.86,23.8,70.7
SPLPETRO,13202.38,14.32,,14.16,4.8,57.9
TEGA,13196.18,5.94,,6.63,-1.7,-63.6
ENGINERSIN,13190.01,,,15.22,-8.3,-30.3
CANHLIFE,13139.72,8.11,,3.15,-55.3,
PARADEEP,13106.9,18.36,,6.73,34.6,-23.5
INGERRAND,13085.25,,,24.29,18.2,-7.4
VGUARD,13066.99,13.79,,8.12,14.1,23.1
ECLERX,13009.34,29.0,,21.13,23.3,26.0
EIDPARRY,12982.76,9.91,,4.9,15.7,
FIVESTAR,12962.82,16.06,,60.51,4.1,-3.7
ARVIND,12961.57,10.66,,8.96,15.0,5.9
